Product Type,Size,Paper Weight,Paper Type,Paper Color,Parts,Sides,Ink Color,Quantity,Price,Max Qty,Overage per 1000,Pricing Type
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Canary / Pink / Goldenrod,4,Double,Black,1000,160,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Canary / Pink / Goldenrod,4,Double,Black,2000,264,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Canary / Pink / Goldenrod,4,Double,Black,2500,325,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Canary / Pink / Goldenrod,4,Double,Black,3000,383,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Canary / Pink / Goldenrod,4,Double,Black,4000,494,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Canary / Pink / Goldenrod,4,Double,Black,5000,610,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Canary / Pink / Goldenrod,4,Double,Black,6000,724,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Canary / Pink / Goldenrod,4,Double,Black,7000,839,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Canary / Pink / Goldenrod,4,Double,Black,8000,960,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Canary / Pink / Goldenrod,4,Double,Black,9000,1077,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Canary / Pink / Goldenrod,4,Double,Black,10000,1408,,,Standard
,,,,,,,,,,,,
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Green / Canary / Pink / Goldenrod,5,Double,Black,500,120,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Green / Canary / Pink / Goldenrod,5,Double,Black,1000,191,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Green / Canary / Pink / Goldenrod,5,Double,Black,2000,317,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Green / Canary / Pink / Goldenrod,5,Double,Black,2500,391,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Green / Canary / Pink / Goldenrod,5,Double,Black,3000,459,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Green / Canary / Pink / Goldenrod,5,Double,Black,4000,595,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Green / Canary / Pink / Goldenrod,5,Double,Black,5000,717,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Green / Canary / Pink / Goldenrod,5,Double,Black,6000,858,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Green / Canary / Pink / Goldenrod,5,Double,Black,7000,996,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Green / Canary / Pink / Goldenrod,5,Double,Black,8000,1130,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Green / Canary / Pink / Goldenrod,5,Double,Black,9000,1269,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Green / Canary / Pink / Goldenrod,5,Double,Black,10000,1282,,,Standard
,,,,,,,,,,,,
Carbonless Form,"8.5"" x 11""",21lb,NCR,White / Canary,2,Single,Black,250,49,,,Standard
Carbonless Form,"8.5"" x 11""",21lb,NCR,White / Canary,2,Single,Black,500,63,,,Standard
Carbonless Form,"8.5"" x 11""",21lb,NCR,White / Canary,2,Single,Black,1000,94,,,Standard
Carbonless Form,"8.5"" x 11""",21lb,NCR,White / Canary,2,Single,Black,1500,137,,,Standard
Carbonless Form,"8.5"" x 11""",21lb,NCR,White / Canary,2,Single,Black,2000,176,,,Standard
Carbonless Form,"8.5"" x 11""",21lb,NCR,White / Canary,2,Single,Black,2500,199,,,Standard
Carbonless Form,"8.5"" x 11""",21lb,NCR,White / Canary,2,Single,Black,3000,225,,,Standard
Carbonless Form,"8.5"" x 11""",21lb,NCR,White / Canary,2,Single,Black,4000,280,,,Standard
Carbonless Form,"8.5"" x 11""",21lb,NCR,White / Canary,2,Single,Black,5000,326,,,Standard
Carbonless Form,"8.5"" x 11""",21lb,NCR,White / Canary,2,Single,Black,6000,381,,,Standard
Carbonless Form,"8.5"" x 11""",21lb,NCR,White / Canary,2,Single,Black,7000,435,,,Standard
Carbonless Form,"8.5"" x 11""",21lb,NCR,White / Canary,2,Single,Black,8000,487,,,Standard
Carbonless Form,"8.5"" x 11""",21lb,NCR,White / Canary,2,Single,Black,9000,539,,,Standard
Carbonless Form,"8.5"" x 11""",21lb,NCR,White / Canary,2,Single,Black,10000,594,,,Standard
,,,,,,,,,,,,
Carbonless Form,"8.5"" x 11""",21lb,NCR,White / Canary / Pink,3,Single,Black,250,63,,,Standard
Carbonless Form,"8.5"" x 11""",21lb,NCR,White / Canary / Pink,3,Single,Black,500,89,,,Standard
Carbonless Form,"8.5"" x 11""",21lb,NCR,White / Canary / Pink,3,Single,Black,1000,133,,,Standard
Carbonless Form,"8.5"" x 11""",21lb,NCR,White / Canary / Pink,3,Single,Black,1500,195,,,Standard
Carbonless Form,"8.5"" x 11""",21lb,NCR,White / Canary / Pink,3,Single,Black,2000,255,,,Standard
Carbonless Form,"8.5"" x 11""",21lb,NCR,White / Canary / Pink,3,Single,Black,2500,311,,,Standard
Carbonless Form,"8.5"" x 11""",21lb,NCR,White / Canary / Pink,3,Single,Black,3000,349,,,Standard
Carbonless Form,"8.5"" x 11""",21lb,NCR,White / Canary / Pink,3,Single,Black,4000,418,,,Standard
Carbonless Form,"8.5"" x 11""",21lb,NCR,White / Canary / Pink,3,Single,Black,5000,504,,,Standard
Carbonless Form,"8.5"" x 11""",21lb,NCR,White / Canary / Pink,3,Single,Black,6000,590,,,Standard
Carbonless Form,"8.5"" x 11""",21lb,NCR,White / Canary / Pink,3,Single,Black,7000,680,,,Standard
Carbonless Form,"8.5"" x 11""",21lb,NCR,White / Canary / Pink,3,Single,Black,8000,772,,,Standard
Carbonless Form,"8.5"" x 11""",21lb,NCR,White / Canary / Pink,3,Single,Black,9000,865,,,Standard
Carbonless Form,"8.5"" x 11""",21lb,NCR,White / Canary / Pink,3,Single,Black,10000,955,,,Standard
,,,,,,,,,,,,
Carbonless Form,"8.5"" x 11""",21lb,NCR,White / Canary / Pink / Goldenrod,4,Single,Black,250,68,,,Standard
Carbonless Form,"8.5"" x 11""",21lb,NCR,White / Canary / Pink / Goldenrod,4,Single,Black,500,109,,,Standard
Carbonless Form,"8.5"" x 11""",21lb,NCR,White / Canary / Pink / Goldenrod,4,Single,Black,1000,180,,,Standard
Carbonless Form,"8.5"" x 11""",21lb,NCR,White / Canary / Pink / Goldenrod,4,Single,Black,1500,261,,,Standard
Carbonless Form,"8.5"" x 11""",21lb,NCR,White / Canary / Pink / Goldenrod,4,Single,Black,2000,340,,,Standard
